<https://donorbox.org/danielwood4congress-com>; rel="original",
<http://web.archive.org/web/timemap/link/https://donorbox.org/danielwood4congress-com>; rel="self"; type="application/link-format"; from="Wed, 22 Apr 2020 15:28:07 GMT",
<http://web.archive.org/web/https://donorbox.org/danielwood4congress-com>; rel="timegate",
<http://web.archive.org/web/20200422152807/https://donorbox.org/danielwood4congress-com>; rel="first memento"; datetime="Wed, 22 Apr 2020 15:28:07 GMT",
<http://web.archive.org/web/20200520155652/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Wed, 20 May 2020 15:56:52 GMT",
<http://web.archive.org/web/20200710231341/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Fri, 10 Jul 2020 23:13:41 GMT",
<http://web.archive.org/web/20200809171950/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Sun, 09 Aug 2020 17:19:50 GMT",
<http://web.archive.org/web/20200816174550/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Sun, 16 Aug 2020 17:45:50 GMT",
<http://web.archive.org/web/20200923130321/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Wed, 23 Sep 2020 13:03:21 GMT",
<http://web.archive.org/web/20201005022601/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Mon, 05 Oct 2020 02:26:01 GMT",
<http://web.archive.org/web/20201006204934/http://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Tue, 06 Oct 2020 20:49:34 GMT",
<http://web.archive.org/web/20201028233637/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Wed, 28 Oct 2020 23:36:37 GMT",
<http://web.archive.org/web/20201101184652/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Sun, 01 Nov 2020 18:46:52 GMT",
<http://web.archive.org/web/20201101184734/http://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Sun, 01 Nov 2020 18:47:34 GMT",
<http://web.archive.org/web/20201101184735/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Sun, 01 Nov 2020 18:47:35 GMT",
<http://web.archive.org/web/20201101184748/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Sun, 01 Nov 2020 18:47:48 GMT",
<http://web.archive.org/web/20201123170438/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Mon, 23 Nov 2020 17:04:38 GMT",
<http://web.archive.org/web/20201212200229/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Sat, 12 Dec 2020 20:02:29 GMT",
<http://web.archive.org/web/20210110224153/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Sun, 10 Jan 2021 22:41:53 GMT",
<http://web.archive.org/web/20210126092000/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Tue, 26 Jan 2021 09:20:00 GMT",
<http://web.archive.org/web/20211020115051/https://donorbox.org/danielwood4congress-com>; rel="memento"; datetime="Wed, 20 Oct 2021 11:50:51 GMT",
