name,office,date,text,name_clean,bgimg_trump,bgimg_martial,bgimg_notes,logo_trump,logo_martial,logo_notes,page_payment_request_button_enabled,page_donor_buckets_enabled,organization_uid,organization_name,description,og_title,og_description,og_url,og_site_name,og_locale,og_type,twitter_card,twitter_url,twitter_title,twitter_description,ref_number
Save America,National PAC,4/24/2021,2021 TRUMP FOUNDING MEMBER The Make America Great Again movement is only just beginning.President Trump is calling on you to step up and become a founding member of his Save America team.Can he count on you?Please contribute ANY AMOUNT in the NEXT HOUR to get on President Trump’s Official Founding Member Donor List.,save_america,1,0,,1,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p class=""p1"" style=""font-size: 12px; font-family: Helvetica; text-align: center;""><span style=""font-family: arial, helvetica, sans-serif;""><strong><span style=""font-size: 18pt;"">2021 TRUMP FOUNDING MEMBER&nbsp;</span></strong><br><br></span></p>
<p class=""p1"" style=""font-size: 12px; font-family: Helvetica; text-align: left;""><span style=""font-family: arial, helvetica, sans-serif; font-size: 12pt;"">The Make America Great Again movement is only just beginning.<br><br></span><span style=""font-family: arial, helvetica, sans-serif; font-size: 12pt;"">President Trump is calling on you to step up and become a founding member of his Save America team.<br><br></span><span style=""font-family: arial, helvetica, sans-serif; font-size: 12pt;"">Can he count on you?<br><br></span><span style=""text-decoration: underline; font-family: arial, helvetica, sans-serif; font-size: 12pt;""><strong>Please contribute ANY AMOUNT in the NEXT HOUR to get on President Trump’s Official Founding Member Donor List.</strong></span></p>",2021 TRUMP FOUNDING MEMBER,We’re showing President Trump an updated membership roster soon. Don't wait!,https://secure.winred.com/save-america-joint-fundraising-committee/membership?amount=50,WinRed,en_US,website,summary_large_image,https://secure.winred.com/save-america-joint-fundraising-committee/membership,2021 TRUMP FOUNDING MEMBER,We’re showing President Trump an updated membership roster soon. Don't wait!,1
NRSC,National Committees,4/24/2021,"Help Retake the Republican Senate Majority! As the only committee solely dedicated to retaking the Republican Senate Majority, we greatly appreciate your contribution. Every dollar you give helps provide Republicans with resources necessary to win.",nrsc,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"As the only committee solely dedicated to helping retake the Senate Majority, we greatly appreciate your contribution. Every dollar you give helps provide Republicans with resources necessary to win.",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/nrsc/home-page,WinRed,en_US,website,summary_large_image,https://secure.winred.com/nrsc/home-page,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,2
Republican Party Of Arkansas,State Party,4/24/2021,"Donors of the Republican Party of Arkansas are the true stakeholders of Conservative values in our state. Because of you, we are able to promote our mission, sustain our effort in every corner of the state, and protect the freedoms we all enjoy. We graciously appreciate your commitment!",republican_party_of_arkansas,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 14pt; font-family: arial, helvetica, sans-serif;"">Donors of the Republican Party of Arkansas are the true stakeholders of Conservative values in our state. Because of you, we are able to promote our mission, sustain our effort in every corner of the state, and protect the freedoms we all enjoy. We graciously appreciate your commitment!</span></p>
<p></p>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/arkansasgop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/arkansasgop/donate,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,3
California Republican Party,State Party,4/24/2021,Please Contribute Today to help stop One Party Rule in California,california_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<h2 style=""text-align: center; color: #43525e; font-size: 1.875em !important;""><b>Please Contribute Today to help stop One Party Rule in California</b></h2>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/california-republican-party/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/california-republican-party/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,4
Marin County Republican Central Committee,State Party,4/24/2021,Support Marin County Republican Central Committee!,marin_county_republican_central_committee,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""color: #000000;""><strong><span style=""font-family: Slack-Lato, appleLogo, sans-serif; font-size: 18pt;"">Support Marin County Republican Central Committee!</span></strong></span></p>",Marin County Republican Central Committee,Help out Marin County Republican Central Committee Today!,https://secure.winred.com/maringop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/maringop/donate,Help out Marin County Republican Central Committee Today!,Help out Marin County Republican Central Committee Today!,5
Colorado Republican Committee,State Party,4/24/2021,Colorado Republican Party,colorado_republican_committee,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<h1 style=""color: #42525f; font-size: 2.125rem; text-align: center; font-family: 'Open Sans', sans-serif;"">Colorado Republican Party</h1>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/colorado-republican-committee/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/colorado-republican-committee/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,6
Connecticut Republican Party,State Party,4/24/2021,Help Elect Connecticut Republicans! Thank you for supporting The Connecticut Republican Party-Federal account. These funds are used exclusively for the purpose of supporting Federal candidates and federal election activities. Contributions from state lobbyists and Connecticut state contractors are accepted and allowed in this account.,connecticut_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<h2 style=""text-align: center;""><span style=""font-size: 14pt;"">Help Elect Connecticut Republicans!</span></h2>
<p style=""text-align: center;"">Thank you for supporting The Connecticut Republican Party-Federal account. These funds are used exclusively for the purpose of supporting Federal candidates and federal election activities. Contributions from state lobbyists and Connecticut state contractors are accepted and allowed in this account.</p>",WinRed - Conservatives’ #1 fundraising technology,Thanks for your Support!,https://secure.winred.com/connecticutgop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/connecticutgop/donate,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,7
DC Republican Party,State Party,4/24/2021,"Please consider making your most generous financial contribution to the DC Republican Party today. If you would prefer to contribute with a check, please send a check made payable to the ""DC Republican Party"" to: P.O. Box 75153, Washington, DC 20013. If you have questions, please contact us at [email protected]. Thank you.",dc_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<h1 class=""text-align-center"" id=""yui_3_17_2_1_1562944614843_298"" style=""font-size: 32px; font-family: proxima-nova; color: rgba(240, 10, 10, 0.97); background-color: #ffffff; text-align: left;""><span style=""font-size: 12pt; color: #34495e;"">Please consider making your most generous financial contribution to the DC Republican Party today. If you would prefer to contribute with a check, please send a check made payable to the ""<strong><em>DC Republican Party</em>""</strong> to: <em>P.O. Box 75153, Washington, DC 20013</em>. If you have questions, please contact us at <em>info@dcgop.com</em>. Thank you. </span></h1>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/dc-republican-party/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/dc-republican-party/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,8
Republican State Committee Of Delaware,State Party,4/24/2021,"Your support, today, means that we have the resources necessary to assist our Republicans candidates up and down the ballot. Our staff is committeed to you and taking back our state! PLEASE NOTE: To contribute by mail, please make check payable to Delaware GOP and send to: DELAWARE GOPP. O. Box 4746Wilmington, DE 19807",republican_state_committee_of_delaware,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Support Delaware Republicans!,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,https://secure.winred.com/delaware/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/delaware/donate,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,9
Republican Party Of Florida,State Party,4/24/2021,Help us elect strong conservatives in Florida by donating to the Republican Party of Florida.,republican_party_of_florida,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: left;"">Help us elect strong conservatives in Florida by donating to the Republican Party of Florida.</p>",Republican Party of Florida,Thanks for your support! ,https://secure.winred.com/republican-party-of-florida/donate,WinRed,en_US,website,summary_large_image,https://secure.winred.com/republican-party-of-florida/donate,Republican Party of Florida,Thanks for your support! ,10
Hawaii Republican Party,State Party,4/24/2021,"We need to do our part to stop the Democrats' tax, spend, and government-run agenda! Help us grow our party to compete with the far-left money machine!",hawaii_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p>We need to do our part to stop the Democrats' tax, spend, and government-run agenda! &nbsp;Help us grow our party to compete with the far-left money machine!</p>",Hawaii GOP,Thank you for your support!,https://secure.winred.com/hawaiigop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/hawaiigop/donate,Hawaii GOP,Thank you for your support!,11
Idaho Republican Party,State Party,4/24/2021,,idaho_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/idaho-republican-party/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/idaho-republican-party/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,12
Kansas Republican Party,State Party,4/24/2021,,kansas_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/kansas-republican-party/trumpgopvictory2020?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/kansas-republican-party/trumpgopvictory2020,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,13
Massachusetts Republican Party,State Party,4/24/2021,"We believe that free enterprise, low taxes, and fewer regulations are the best ways to grow our economy in order to create good, high-paying jobs across Massachusetts. Support our candidates and make a donation to the Massachusetts Republican Party! DONATE TODAY!",massachusetts_republican_party,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p></p>
<p style=""text-align: center;""><span style=""font-size: 14pt;""><strong><span style=""color: #000080;"">We believe that free enterprise, low taxes, and fewer regulations</span></strong></span></p>
<p style=""text-align: center;""><span style=""font-size: 14pt;""><strong><span style=""color: #000080;"">are the best ways to grow our economy in order to</span></strong></span></p>
<p style=""text-align: center;""><span style=""font-size: 14pt;""><strong><span style=""color: #000080;"">create good, high-paying jobs across Massachusetts.</span></strong></span></p>
<p style=""text-align: center;""><span style=""font-size: 14pt;""><strong><span style=""color: #000080;"">Support our candidates and make a donation to the Massachusetts Republican Party!</span></strong></span></p>
<p style=""text-align: center;""><span style=""font-size: 18pt; color: #ff0000;""><strong>DONATE TODAY!</strong></span></p>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/massgop/wdirectorywr085fr?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/massgop/wdirectorywr085fr,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,14
Maine Republican Party,State Party,4/24/2021,"Stand Up For Maine's Future Maine Republicans believe in less government, lower taxes and a responsible fiscal policy that is able to protect our neediest citizens, maintain the Maine quality of life, and balances jobs and the economic growth with responsible environmental practices Donate $20.22 today to elect conservatives across Maine!",maine_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><strong><span style=""font-size: 18pt;""><span style=""color: #002142;"">Stand Up For Maine's Future</span><span style=""color: #002142; text-align: center;""></span></span></strong></p>
<p style=""text-align: center;""><span style=""color: #002142; font-size: 18px; text-align: center;"">Maine Republicans believe in less government, lower taxes and a responsible fiscal policy that is able to protect our neediest citizens, maintain the Maine quality of life, and balances jobs and the economic growth with responsible environmental practices</span></p>
<p style=""text-align: center;""><span style=""color: #002142; font-size: 18px; text-align: center;"">Donate $20.22 today to elect conservatives across Maine!</span></p>",Stand Up For Maine's Future: Join Us Today,Donate $20.22 today to elect conservatives across Maine!,https://secure.winred.com/maine-republican-party/mainegop?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/maine-republican-party/mainegop,Stand Up For Maine's Future: Join Us Today,Donate $20.22 today to elect conservatives across Maine!,15
Republican Party Of Minnesota -- Federal,State Party,4/24/2021,,republican_party_of_minnesota__federal,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,https://secure.winred.com/republican-party-of-minnesota/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/republican-party-of-minnesota/donate,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,16
Missouri Republican Party,State Party,4/24/2021,,missouri_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/missouri-republican-party/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/missouri-republican-party/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,17
Mississippi Republican Party,State Party,4/24/2021,Mississippi stands with President Donald J. Trump! Donate here to make sure President Trump and his allies at the Mississippi Republican Party have the resources they need to fight against the massive amounts of liberal money being spent to beat our President and our Republican Candidates! Every donation will be put to good use for Get Out The Vote efforts!,mississippi_republican_party,1,0,,1,0,Same as BGIMG,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 14pt;""><strong><span style=""text-decoration: underline;""><span style=""background-color: #c0392b; color: #ffffff; text-decoration: underline;""> Mississippi stands with President Donald J. Trump! </span></span> </strong></span></p>
<p><span style=""font-size: 14pt;"">Donate here to make sure President Trump and his allies at the Mississippi Republican Party have the resources they need to fight against the massive amounts of liberal money being spent to beat our President and our Republican Candidates!</span></p>
<p><span style=""font-size: 14pt;"">Every donation will be put to good use for Get Out The Vote efforts!</span></p>",Keep America Great!,Support President Trump,https://secure.winred.com/mississippigop/kag?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/mississippigop/kag,Keep America Great!,Support President Trump,18
Montana Republican State Central Committee,State Party,4/24/2021,"We need your support! Help us defend President Trump against the sham impeachment trial in the Senate! For every $100 raised, $50 will go to directly to President Trump's Campaign!",montana_republican_state_central_committee,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p>We need your support! Help us defend President Trump against the sham impeachment trial in the Senate! </p>
<p></p>
<p></p>
<p>For every $100 raised, $50 will go to directly to President Trump's Campaign! </p>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/montana/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/montana/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,19
North Carolina Republican Party,State Party,4/24/2021,"Help Keep NC RED! Please, chip in whatever you can afford TODAY to support YOUR Republican Party!",north_carolina_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Chip in whatever you can afford TODAY to help elect North Carolina Republicans.,North Carolina Republican Party,Thanks for your support!,https://secure.winred.com/north-carolina-republican-party/ncgop?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/north-carolina-republican-party/ncgop,North Carolina Republican Party,Thanks for your support!,20
Republican Party Of New Mexico,State Party,4/24/2021,,republican_party_of_new_mexico,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,New Mexico GOP | Donate ,Thanks for your support!,https://secure.winred.com/republican-party-of-new-mexico/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/republican-party-of-new-mexico/donate,New Mexico GOP,Thanks for your support! ,21
Oklahoma Republican Party,State Party,4/24/2021,We need your help! - Election Integrity - City Council Seats - School Board Seats These are just a few of the BATTLES we are fighting RIGHT NOW in OKLAHOMA and in our Nation! Join us as we fight to keep our Republic!,oklahoma_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><strong><span style=""font-size: 18pt;"">We need your help!</span></strong></p>
<p style=""text-align: center;""><span style=""font-size: 12pt;"">- Election Integrity</span></p>
<p style=""text-align: center;""><span style=""font-size: 12pt;"">  - City Council Seats</span></p>
<p style=""text-align: center;""><span style=""font-size: 12pt;"">    - School Board Seats</span></p>
<p style=""text-align: center;""><span style=""font-size: 12pt;"">These are just a few of the BATTLES we are </span></p>
<p style=""text-align: center;""><span style=""font-size: 12pt;"">fighting RIGHT NOW </span><span style=""font-size: 12pt;"">in </span></p>
<p style=""text-align: center;""><span style=""font-size: 14pt; color: #ff0000;""><strong>OKLAHOMA</strong> </span></p>
<p style=""text-align: center;""><span style=""font-size: 12pt;"">and in our Nation!</span></p>
<p style=""text-align: center;""><span style=""font-size: 14pt;"">Join us as we fight to keep our Republic!</span></p>",WinRed - Conservatives’ #1 fundraising technology,Thank you for your support!,https://secure.winred.com/oklahomagop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/oklahomagop/donate,WinRed - Conservatives’ #1 fundraising technology,Thank you for your support!,22
Rhode Island GOP,State Party,4/24/2021,Donate today to help us elect Republicans statewide!,rhode_island_gop,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p><span style=""color: #43525e; font-family: 'Open Sans', sans-serif; font-size: 14pt; background-color: #ffffff;"">Donate today to help us elect Republicans statewide! </span></p>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/rhodeislandgop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/rhodeislandgop/donate,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,23
South Dakota Republican Party,State Party,4/24/2021,Help the South Dakota Republican Party prepare for the 2022 Election with a donation today!,south_dakota_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p><span style=""font-size: 16px; color: #1a4287;""><strong>Help the South Dakota Republican Party prepare for the 2022 Election with a donation today!</strong></span></p>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/sdgop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/sdgop/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,24
Tennessee Republican Party,State Party,4/24/2021,,tennessee_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Donate button on homepage,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/tennessee-republican-party/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/tennessee-republican-party/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,25
Republican Party Of Virginia,State Party,4/24/2021,,republican_party_of_virginia,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/republican-party-of-virginia/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/republican-party-of-virginia/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,26
Vermont Republican Party,State Party,4/24/2021,Help us elect Republicans up and down the ticket by donating today!,vermont_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 18pt; color: #2b3e50;"">Help us elect Republicans up and down the ticket by donating today!</span></p>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/vermontgop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/vermontgop/donate,WinRed - Conservatives’ #1 fundraising technology,Thanks for your support!,27
Washington State Republican Party,State Party,4/24/2021,Donate below to help elect Republicans in Washington State!,washington_state_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;""><span style=""font-size: 12pt;""><strong></strong></span></p>
<p style=""text-align: center;""><span style=""font-size: 12pt;""><strong>Donate below to help elect Republicans in Washington State!</strong></span><span style=""font-size: 12pt;""><strong></strong></span></p>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/wsrp/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/wsrp/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,28
Republican Party Of Wisconsin,State Party,4/24/2021,Support the Republicans running for office in your area!,republican_party_of_wisconsin,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<p style=""text-align: center;"">Support the Republicans running for office in your area!</p>",WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,https://secure.winred.com/republican-party-of-wisconsin/donate,WinRed,en_US,website,summary_large_image,https://secure.winred.com/republican-party-of-wisconsin/donate,WinRed - Conservatives’ #1 fundraising technology,WinRed - Our technology changes how conservative &amp; center-right groups fundraise online. Join now to start winning in 2020!,29
West Virginia Republican Party,State Party,4/24/2021,This is our year! Please consider a donation to the West Virginia Republican Party. Help us elect Republicans in WV!,west_virginia_republican_party,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,"<h4 style=""text-align: center;""><span style=""font-size: 14pt;"">This is our year! Please consider a donation to the West Virginia Republican Party. Help us elect Republicans in WV!</span></h4>",WinRed - Conservatives’ #1 fundraising technology,Thank you for your support!,https://secure.winred.com/westvirginiagop/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/westvirginiagop/donate,WinRed - Conservatives’ #1 fundraising technology,Thank you for your support!,30
Dan Sullivan,AK-SEN,4/24/2021,Donate today and help us keep fighting for Alaska! Chip in Now!,dan_sullivan,0,0,,0,0,,FALSE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Support Dan Sullivan's race for US Senate. Donate today!,Dan Sullivan for Senate,Stand with Dan Sullivan,https://secure.winred.com/alaskans-for-dan-sullivan/donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/alaskans-for-dan-sullivan/donate,Dan Sullivan for Senate,Stand with Dan Sullivan,31
Kelly Tshibaka,AK-SEN,4/24/2021,America First. Always. Donate to Team Kelly now and let's bring our conservative Alaska values to the Senate,kelly_tshibaka,0,0,,0,0,,TRUE,FALSE,rv_org_6KNvU36Z2qWJ2gfUBWqGZGoc,WinRed,Kelly for Alaska Donation Page,Chip in today! Kelly for Alaska,From Alaska. For Alaska.,https://secure.winred.com/kelly-for-alaska/website-donate?sc=winred-directory&money_bomb=false&recurring=false,WinRed,en_US,website,summary_large_image,https://secure.winred.com/kelly-for-alaska/website-donate,Chip in today! Kelly for Alaska,From Alaska. For Alaska.,32
